trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,sector,industry
52,GS^B,793,974.56,690.75,12/19/2021,12/24/2021,-283.81,n/a,n/a
53,FNV,9083,82.74,385.15,1/23/2022,2/14/2020,302.41,Basic Industries,Precious Metals
54,EXAS,4581,466.08,10.41,7/3/2021,12/6/2020,-455.67,Health Care,Biotechnology: Commercial Physical & Biological Resarch
55,FCH,6311,667.49,33.34,1/3/2022,7/19/2021,-634.15,Consumer Services,Real Estate Investment Trusts
56,HSON,3146,697.65,681.38,12/14/2020,9/30/2020,-16.27,Technology,Professional Services
57,AZPN,4904,662.68,285.28,4/23/2021,10/29/2022,-377.4,Technology,EDP Services
58,BIB,4300,569.2,914.32,5/15/2020,5/26/2021,345.12,n/a,n/a
59,SRE,9858,616.54,640.72,2/9/2020,7/9/2021,24.18,Public Utilities,Natural Gas Distribution
60,OFS,6944,594.69,863.12,9/29/2022,4/21/2022,268.43,n/a,n/a
61,VTL,4968,593.15,933.21,1/26/2022,4/7/2021,340.06,Health Care,Major Pharmaceuticals
62,ZGNX,4769,901.38,288.66,8/12/2020,11/1/2022,-612.72,Health Care,Major Pharmaceuticals
63,BOOM,3731,550.49,198.48,9/26/2021,4/23/2021,-352.01,Capital Goods,Industrial Specialties
64,DLX,8962,880.76,487.15,1/29/2020,1/23/2022,-393.61,Consumer Durables,Publishing
65,CCI,5309,183.34,572.7,10/11/2020,5/9/2022,389.36,Consumer Services,Real Estate Investment Trusts
66,ETSY,1184,360.05,42.37,10/29/2022,6/22/2020,-317.68,Miscellaneous,Business Services
67,CSFL,8328,32.91,83.27,1/13/2022,2/20/2020,50.36,Finance,Major Banks
68,CEN,8152,684.26,640.77,12/5/2020,2/7/2021,-43.49,n/a,n/a
69,RFEM,3398,69.89,375.32,3/31/2021,12/10/2020,305.43,n/a,n/a
70,EXR,5175,762.88,836.28,1/28/2021,2/11/2020,73.4,Consumer Services,Real Estate Investment Trusts
71,CMPR,9738,23.73,483.77,8/26/2022,2/26/2020,460.04,Miscellaneous,Publishing
72,CBAY,8153,250.24,286.1,10/9/2022,3/27/2020,35.86,Health Care,Major Pharmaceuticals
73,YUM,7313,542.43,691.87,11/5/2020,1/1/2020,149.44,Consumer Services,Restaurants
74,TNC,8706,432.95,912.81,8/12/2022,5/3/2021,479.86,Technology,Industrial Machinery/Components
75,UAE,161,724.92,511.86,5/13/2020,6/4/2021,-213.06,n/a,n/a
76,EOS,1822,176.52,343.2,12/28/2022,2/23/2022,166.68,n/a,n/a
77,NMRX,4700,974.81,255.28,5/31/2022,5/30/2021,-719.53,Consumer Durables,Telecommunications Equipment
78,CPE^A,1967,160.52,882.17,6/17/2022,6/19/2021,721.65,Energy,Oil & Gas Production
79,MED,2744,131.05,773.93,7/4/2021,7/7/2021,642.88,Consumer Non-Durables,Packaged Foods
80,AVAL,4914,428.96,76.75,7/23/2021,2/28/2021,-352.21,Finance,Commercial Banks
81,NGS,5647,474.5,461.44,1/14/2022,2/23/2022,-13.06,Energy,Oilfield Services/Equipment
82,TCO,3586,478.74,503.19,9/15/2020,2/18/2022,24.45,Consumer Services,Real Estate Investment Trusts
83,GBNK,2641,482.41,418.32,6/14/2021,8/17/2022,-64.09,Finance,Major Banks
84,NFX,5516,373.2,969.41,1/23/2021,5/17/2022,596.21,Energy,Oil & Gas Production
85,TNP^D,2888,127.39,492.77,7/4/2020,9/20/2021,365.38,n/a,n/a
86,BHL,6658,330.43,703.64,7/19/2022,11/5/2021,373.21,n/a,n/a
87,SHAK,4387,838.33,702.08,2/19/2020,10/29/2022,-136.25,Consumer Services,Restaurants
88,VRNT,3690,639.9,789.1,12/7/2020,7/2/2020,149.2,Technology,EDP Services
89,BXE,2412,943.8,378.12,10/12/2021,12/9/2020,-565.68,Energy,Oil & Gas Production
90,USAC,8152,867.78,387.78,2/6/2021,1/10/2021,-480.0,Public Utilities,Natural Gas Distribution
91,TRS,3328,736.78,495.77,9/16/2022,4/3/2021,-241.01,Capital Goods,Industrial Specialties
92,ROBO,4554,964.84,621.88,10/13/2021,6/14/2021,-342.96,n/a,n/a
93,HBP,3026,623.78,192.92,3/13/2022,6/28/2021,-430.86,Consumer Services,RETAIL: Building Materials
94,GGT,5842,102.84,464.53,6/2/2020,7/1/2021,361.69,n/a,n/a
95,IMMU,5436,792.0,240.14,10/21/2021,11/12/2021,-551.86,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
96,QRHC,9498,982.09,514.82,7/10/2021,8/11/2020,-467.27,Technology,Diversified Commercial Services
97,EVSTC,1798,754.09,604.95,8/19/2020,4/27/2021,-149.14,n/a,n/a
98,BEP,1329,504.72,635.58,5/11/2020,1/3/2020,130.86,Public Utilities,Electric Utilities: Central
99,VMC,431,204.76,384.91,12/9/2020,3/15/2020,180.15,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
100,HFC,3220,916.22,940.53,3/9/2022,7/9/2021,24.31,Energy,Integrated oil Companies
101,RELX,4892,221.21,335.2,8/2/2020,5/23/2022,113.99,Consumer Services,Publishing
102,TNH,2392,92.57,836.07,7/22/2022,8/31/2020,743.5,Basic Industries,Agricultural Chemicals
103,TBPH,3310,434.67,621.37,7/25/2021,6/26/2020,186.7,Health Care,Major Pharmaceuticals
104,INO,1889,512.29,712.85,8/20/2022,11/8/2020,200.56,Health Care,Medical/Dental Instruments
105,MTLS,9677,556.27,852.46,8/22/2021,9/21/2021,296.19,Technology,Computer Software: Prepackaged Software
106,CSTM,8031,414.34,961.32,9/26/2022,10/16/2020,546.98,Basic Industries,Metal Fabrications
107,SCMP,7382,260.99,517.14,11/8/2022,9/11/2020,256.15,Health Care,Major Pharmaceuticals
108,DXJS,3873,944.29,19.13,3/9/2020,5/31/2020,-925.16,n/a,n/a
109,VUZI,7508,388.95,124.52,11/18/2022,3/19/2020,-264.43,Technology,Radio And Television Broadcasting And Communications Equipment
110,TNP^E,6344,764.49,517.1,10/1/2022,9/11/2022,-247.39,n/a,n/a
111,SFL,6410,431.17,946.68,12/31/2020,8/3/2021,515.51,Transportation,Marine Transportation
112,SRCLP,9216,499.28,299.98,1/4/2022,8/23/2020,-199.3,Basic Industries,Environmental Services
113,CNSL,2870,117.46,319.07,10/16/2022,5/24/2021,201.61,Public Utilities,Telecommunications Equipment
114,TVIA,6835,4.26,913.67,12/30/2022,9/17/2021,909.41,Basic Industries,Major Chemicals
115,ICL,7551,137.4,604.47,1/9/2020,10/4/2022,467.07,Basic Industries,Agricultural Chemicals
116,BPL,5287,722.01,373.07,5/26/2021,11/18/2020,-348.94,Energy,Natural Gas Distribution
117,FICO,7373,130.95,145.29,11/16/2021,4/15/2021,14.34,Miscellaneous,Business Services
118,RIG,6377,456.68,37.48,8/18/2020,3/22/2022,-419.2,Energy,Oil & Gas Production
119,CLRO,7443,327.56,951.27,12/4/2021,3/8/2020,623.71,Public Utilities,Telecommunications Equipment
120,ANGO,7457,142.49,356.37,5/3/2020,12/9/2020,213.88,Health Care,Medical/Dental Instruments
121,MFO,9851,377.54,887.04,11/7/2020,3/15/2020,509.5,Consumer Services,Real Estate Investment Trusts
122,WES,1927,167.87,807.03,10/21/2020,6/25/2020,639.16,Public Utilities,Natural Gas Distribution
123,ETJ,2739,945.54,576.32,4/5/2021,11/12/2022,-369.22,n/a,n/a
124,PMC,5328,15.79,123.53,3/19/2020,7/19/2020,107.74,Health Care,Medical/Nursing Services
125,SRET,9872,990.48,937.4,3/14/2022,9/26/2020,-53.08,n/a,n/a
126,TUTI,5635,774.62,605.19,2/19/2022,9/30/2020,-169.43,n/a,n/a
127,PGEM,7959,236.72,145.66,10/28/2021,12/11/2022,-91.06,Basic Industries,Forest Products
128,ATOM,1409,769.46,583.83,8/23/2020,4/3/2020,-185.63,Technology,Semiconductors
129,C^C,9325,192.08,688.32,3/18/2022,2/28/2021,496.24,n/a,n/a
130,CUDA,8927,335.59,182.85,3/5/2020,7/2/2022,-152.74,Technology,Computer peripheral equipment
131,TFSL,7143,155.84,877.79,8/10/2021,10/5/2021,721.95,Finance,Savings Institutions
132,CRY,1674,590.72,617.4,4/2/2022,12/19/2021,26.68,Health Care,Medical/Dental Instruments
133,GFI,4362,902.23,762.55,4/18/2022,11/7/2022,-139.68,Basic Industries,Precious Metals
134,CCC,5974,751.14,762.8,11/8/2021,5/26/2020,11.66,Basic Industries,Major Chemicals
135,ALL^C,3858,959.36,277.63,6/27/2020,8/3/2021,-681.73,n/a,n/a
136,ARI^A,6035,396.31,19.51,2/7/2022,9/25/2021,-376.8,n/a,n/a
137,ECC           ,2257,595.33,612.99,6/29/2022,1/25/2022,17.66,n/a,n/a
138,GSL,4682,707.72,510.62,8/4/2021,5/4/2022,-197.1,Transportation,Marine Transportation
139,EGRX,240,479.98,124.35,5/10/2020,10/30/2022,-355.63,Health Care,Major Pharmaceuticals
140,TACOW,3030,108.89,769.85,9/24/2022,1/19/2022,660.96,Consumer Services,Restaurants
141,UNP,1929,785.75,10.66,8/1/2021,9/4/2020,-775.09,Transportation,Railroads
142,PYN,5854,457.74,560.23,10/11/2020,6/17/2021,102.49,n/a,n/a
143,VCSH,7739,851.5,340.42,2/10/2021,10/15/2020,-511.08,n/a,n/a
144,CNXN,1133,186.34,787.04,10/17/2022,3/24/2022,600.7,Consumer Services,Catalog/Specialty Distribution
145,REGI,9876,953.74,116.97,9/23/2022,9/3/2022,-836.77,Basic Industries,Major Chemicals
146,QPACU,7731,859.15,19.14,8/21/2022,3/5/2021,-840.01,Miscellaneous,Business Services
147,KTOS,4259,822.58,270.84,3/4/2022,12/25/2020,-551.74,Capital Goods,Military/Government/Technical
148,IGLD,8649,128.17,434.54,8/26/2020,6/17/2022,306.37,Public Utilities,Telecommunications Equipment
149,GATX,4329,652.68,147.02,8/28/2022,11/27/2022,-505.66,Consumer Services,Transportation Services
150,GRC,3808,82.62,399.42,9/12/2022,10/15/2021,316.8,Capital Goods,Fluid Controls
151,FCFP,3356,398.08,221.67,5/26/2021,4/8/2022,-176.41,Finance,Major Banks
152,ROYT,7796,516.62,507.83,7/4/2020,11/29/2022,-8.79,Energy,Oil & Gas Production
153,CART,496,393.36,338.21,2/21/2020,2/12/2022,-55.15,Finance,Major Banks
154,TPH,4802,395.47,291.88,7/5/2021,5/25/2022,-103.59,Capital Goods,Homebuilding
155,STLRW,4026,270.15,907.65,10/23/2021,11/13/2022,637.5,Finance,Business Services
156,FFBC,4471,357.97,322.3,11/26/2022,10/13/2021,-35.67,Finance,Major Banks
157,AMBR,6630,947.31,376.45,9/3/2021,11/3/2020,-570.86,Technology,Computer Software: Prepackaged Software
158,IXUS,8838,979.88,83.21,12/30/2020,3/1/2021,-896.67,n/a,n/a
159,PLYAW,2371,18.69,976.4,11/29/2021,7/2/2022,957.71,Consumer Services,Hotels/Resorts
160,WMAR,3460,496.54,765.05,2/15/2021,9/29/2022,268.51,Consumer Durables,Automotive Aftermarket
161,MTSC,1507,589.52,594.93,3/18/2022,12/29/2022,5.41,Capital Goods,Industrial Machinery/Components
162,LUB,5642,291.44,835.39,7/26/2022,12/9/2022,543.95,Consumer Services,Restaurants
163,CMA,3727,812.89,698.49,2/17/2020,3/19/2020,-114.4,Finance,Major Banks
164,UMC,7217,433.36,852.24,3/24/2020,12/28/2021,418.88,Technology,Semiconductors
165,CATB,2915,146.57,946.36,5/3/2022,10/1/2020,799.79,Health Care,Major Pharmaceuticals
166,AGM.A,6413,577.99,565.12,3/9/2022,6/17/2020,-12.87,n/a,n/a
167,NTB,6874,706.63,803.0,5/19/2020,12/26/2021,96.37,Finance,Commercial Banks
168,AMED,9716,506.59,680.38,12/23/2020,12/20/2020,173.79,Health Care,Medical/Nursing Services
169,BF.B,3949,423.23,815.81,7/28/2022,7/4/2020,392.58,n/a,n/a
170,BERY,600,77.75,550.13,2/5/2022,4/18/2022,472.38,Consumer Non-Durables,Plastic Products
171,PRFZ,3755,776.58,807.86,3/5/2022,9/29/2021,31.28,n/a,n/a
172,HZN,1874,313.95,374.78,10/16/2020,8/31/2020,60.83,Capital Goods,Auto Parts:O.E.M.
173,SILC,2305,992.6,483.15,1/27/2021,3/5/2020,-509.45,Technology,Computer Communications Equipment
174,TCO^J,6990,936.54,423.86,2/1/2020,1/30/2020,-512.68,n/a,n/a
175,FFHL,4342,914.37,423.28,9/26/2020,11/22/2022,-491.09,Capital Goods,Specialty Chemicals
176,COG,4405,232.97,625.58,8/13/2020,4/8/2021,392.61,Energy,Oil & Gas Production
177,FNJN,7841,584.75,229.81,12/21/2021,3/3/2020,-354.94,Miscellaneous,Multi-Sector Companies
178,NLY,5256,590.7,663.13,2/10/2021,4/22/2020,72.43,Consumer Services,Real Estate Investment Trusts
179,GIII,2576,727.25,337.75,4/5/2021,7/11/2020,-389.5,Consumer Non-Durables,Apparel
180,CTU,81,393.15,996.25,2/13/2022,3/31/2021,603.1,Public Utilities,Telecommunications Equipment
181,OVID,6358,409.84,814.02,12/8/2022,8/10/2022,404.18,Health Care,Major Pharmaceuticals
182,CPAA,6332,945.46,566.31,7/25/2022,7/14/2022,-379.15,Finance,Business Services
183,UNXL,6846,201.56,339.91,9/25/2022,2/3/2022,138.35,Capital Goods,Industrial Machinery/Components
184,DFS^B,4967,799.2,612.07,9/8/2022,10/20/2021,-187.13,n/a,n/a
185,SSTK,850,468.25,764.68,11/13/2022,8/2/2022,296.43,Technology,EDP Services
186,JMF,6252,712.16,118.24,12/6/2022,6/11/2020,-593.92,n/a,n/a
187,UFPT,606,702.68,9.18,2/18/2022,5/12/2020,-693.5,Capital Goods,Containers/Packaging
188,AES^C.CL,7547,69.65,129.15,2/2/2021,9/18/2020,59.5,n/a,n/a
189,SBBC,5009,72.22,435.91,7/3/2020,9/4/2021,363.69,Transportation,Marine Transportation
190,GPP,8516,337.51,567.49,4/19/2021,4/21/2022,229.98,Basic Industries,Major Chemicals
191,GGB,5731,478.21,796.09,12/27/2020,8/14/2021,317.88,Capital Goods,Steel/Iron Ore
192,GFN,7435,362.47,389.47,6/15/2021,1/3/2020,27.0,Technology,Diversified Commercial Services
193,BWFG,3541,640.54,222.11,10/6/2021,7/22/2021,-418.43,Finance,Major Banks
194,VTRB,621,490.2,253.05,8/15/2020,12/22/2020,-237.15,Consumer Services,Real Estate Investment Trusts
195,NYLD,9793,753.12,507.85,1/8/2020,11/18/2022,-245.27,Public Utilities,Electric Utilities: Central
196,CSS,7553,106.02,537.33,9/14/2020,11/16/2022,431.31,Consumer Services,Consumer: Greeting Cards
197,MTH,5943,171.0,400.33,8/8/2020,3/23/2021,229.33,Capital Goods,Homebuilding
198,COG,2034,135.84,477.75,8/5/2022,7/10/2020,341.91,Energy,Oil & Gas Production
199,LMIA,7830,652.49,251.21,10/13/2022,4/8/2020,-401.28,Capital Goods,Military/Government/Technical
200,AXS^E,4348,456.15,526.93,10/17/2020,5/27/2022,70.78,n/a,n/a
201,GBLIZ,9534,489.04,212.41,3/3/2021,9/9/2020,-276.63,Finance,Property-Casualty Insurers
202,BASI,306,763.45,3.12,10/5/2022,12/22/2020,-760.33,Health Care,Biotechnology: Commercial Physical & Biological Resarch
203,CHSCM,3695,242.44,366.39,9/29/2021,11/1/2022,123.95,Consumer Services,Farming/Seeds/Milling
204,EMMS,1480,914.35,927.92,7/19/2021,6/21/2020,13.57,Consumer Services,Broadcasting
205,ADXS,692,393.44,359.16,12/15/2020,6/2/2021,-34.28,Health Care,Major Pharmaceuticals
206,PAHC,5687,774.38,556.78,10/30/2020,3/11/2022,-217.6,Health Care,Major Pharmaceuticals
207,DISCK,7376,727.19,832.97,4/26/2020,3/17/2021,105.78,Consumer Services,Television Services
208,CMCO,5115,408.24,233.85,2/9/2021,9/16/2022,-174.39,Capital Goods,Construction/Ag Equipment/Trucks
209,JLL,482,711.08,40.96,9/5/2022,8/5/2022,-670.12,Finance,Real Estate
210,IMDZ,6715,789.14,753.93,1/5/2022,9/18/2020,-35.21,Health Care,Major Pharmaceuticals
211,CUTR,4888,953.14,768.48,5/5/2020,9/30/2021,-184.66,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
212,RILYZ,5112,884.72,854.24,7/21/2022,11/29/2022,-30.48,Miscellaneous,Business Services
213,CNHI,8424,566.63,28.49,6/13/2020,11/29/2020,-538.14,Capital Goods,Construction/Ag Equipment/Trucks
214,KAI,3049,103.64,921.82,10/20/2021,9/23/2022,818.18,Technology,Industrial Machinery/Components
215,CATO,5809,229.02,108.6,6/10/2022,11/12/2020,-120.42,Consumer Services,Clothing/Shoe/Accessory Stores
216,DFT^C,6169,23.65,633.69,10/1/2020,11/24/2021,610.04,n/a,n/a
217,MUE,8966,703.77,285.87,12/22/2022,12/11/2021,-417.9,n/a,n/a
218,HIE,8980,672.05,177.37,8/6/2021,7/15/2022,-494.68,n/a,n/a
219,CFBK,3484,565.78,976.91,3/11/2022,7/23/2020,411.13,Finance,Savings Institutions
220,ACGL,6082,818.49,962.44,4/10/2021,4/24/2022,143.95,Finance,Property-Casualty Insurers
221,RPT^D,9152,563.77,366.83,9/22/2022,5/1/2022,-196.94,n/a,n/a
222,TTOO,5963,160.27,537.22,2/11/2021,1/5/2021,376.95,Health Care,Medical/Dental Instruments
223,CALA,4501,454.19,416.26,9/18/2020,3/13/2020,-37.93,Health Care,Major Pharmaceuticals
224,FONR,7476,55.43,226.48,2/10/2020,2/9/2020,171.05,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
225,CGNX,8170,852.15,822.48,1/23/2020,8/17/2020,-29.67,Capital Goods,Industrial Machinery/Components
226,UBS,6489,657.17,7.67,4/15/2021,3/23/2022,-649.5,Finance,Major Banks
227,NYV,2474,976.26,387.8,1/14/2022,9/9/2021,-588.46,n/a,n/a
228,VRX,6,54.3,328.0,4/19/2021,11/11/2020,273.7,Health Care,Major Pharmaceuticals
229,VALX,5118,963.44,37.81,6/19/2022,4/13/2020,-925.63,n/a,n/a
230,MIIIW,6709,317.31,20.19,5/2/2020,6/24/2022,-297.12,Finance,Business Services
231,COF^P,4895,576.94,393.96,7/21/2022,8/10/2021,-182.98,n/a,n/a
232,TPVZ,3472,26.11,816.96,8/14/2022,9/22/2021,790.85,n/a,n/a
233,VBF,1998,139.84,281.29,1/23/2021,6/1/2021,141.45,n/a,n/a
234,HRS,8713,44.91,193.75,4/9/2021,11/15/2021,148.84,Capital Goods,Industrial Machinery/Components
235,MHK,5862,798.74,460.08,4/22/2020,2/7/2021,-338.66,Consumer Durables,Home Furnishings
236,CNTY,6290,455.07,39.77,3/25/2022,2/1/2020,-415.3,Consumer Services,Hotels/Resorts
237,MGR,5451,638.46,901.76,8/28/2022,10/10/2022,263.3,Finance,Investment Managers
238,HLF,7721,676.12,273.85,2/12/2020,11/6/2021,-402.27,Health Care,Other Pharmaceuticals
239,TLYS,5598,95.58,817.05,2/7/2020,7/29/2020,721.47,Consumer Services,Clothing/Shoe/Accessory Stores
240,XBIO,5943,49.98,105.57,8/5/2022,11/21/2020,55.59,Health Care,Major Pharmaceuticals
241,OPHT,4019,425.11,507.09,11/6/2020,3/20/2021,81.98,Health Care,Major Pharmaceuticals
242,AMID,3936,474.35,725.57,5/18/2022,11/4/2022,251.22,Public Utilities,Natural Gas Distribution
243,TCCA,6125,727.93,705.73,2/20/2022,3/6/2022,-22.2,n/a,n/a
244,CPA,5181,468.89,559.34,6/11/2020,11/22/2021,90.45,Transportation,Air Freight/Delivery Services
245,EYES,2884,830.71,286.39,2/8/2022,11/25/2020,-544.32,n/a,n/a
246,MAS,4229,389.85,867.37,8/23/2020,12/18/2020,477.52,Basic Industries,Forest Products
247,CLNS^D,5548,499.85,334.01,12/11/2021,4/21/2021,-165.84,n/a,n/a
248,ORC,8267,208.23,322.42,6/21/2022,9/13/2021,114.19,Consumer Services,Real Estate Investment Trusts
249,MCN,7396,729.2,702.26,2/27/2022,4/23/2020,-26.94,n/a,n/a
250,AER,3067,963.8,883.27,8/3/2020,2/24/2022,-80.53,Technology,Diversified Commercial Services
251,RUSHB,3054,840.97,950.97,5/25/2021,10/8/2020,110.0,Consumer Durables,Automotive Aftermarket
252,PPSI,5073,538.9,441.99,2/18/2022,1/25/2022,-96.91,Consumer Durables,Electrical Products
253,DWLV,5678,963.94,740.6,3/5/2021,1/16/2020,-223.34,n/a,n/a
254,WRLD,3365,884.79,993.22,3/23/2022,4/4/2020,108.43,Finance,Finance: Consumer Services
255,EARN,3863,391.83,943.8,10/14/2022,3/15/2022,551.97,Consumer Services,Real Estate Investment Trusts
256,PCTY,8628,404.52,569.2,1/24/2020,2/1/2021,164.68,Technology,Computer Software: Prepackaged Software
257,PNK,8435,884.09,16.17,12/12/2022,10/8/2021,-867.92,Consumer Services,Hotels/Resorts
258,VNCE,1770,522.12,867.57,5/31/2022,12/1/2022,345.45,Consumer Services,Clothing/Shoe/Accessory Stores
259,LCII,5575,907.17,578.62,3/22/2020,11/5/2020,-328.55,n/a,n/a
260,UFI,3520,430.44,178.06,11/20/2021,3/14/2022,-252.38,Consumer Non-Durables,Textiles
261,MCI,9378,508.58,771.74,9/8/2022,8/23/2022,263.16,n/a,n/a
262,HLIT,6800,718.65,775.74,9/1/2022,7/11/2022,57.09,Technology,Radio And Television Broadcasting And Communications Equipment
263,NCB,4130,402.43,83.4,5/31/2021,11/5/2020,-319.03,n/a,n/a
264,KEYW,6879,833.28,964.17,8/20/2021,3/25/2021,130.89,Technology,EDP Services
265,HCN,928,986.8,336.81,5/25/2021,2/11/2020,-649.99,Consumer Services,Real Estate Investment Trusts
266,SIR,5187,116.79,469.11,3/31/2020,3/14/2022,352.32,Consumer Services,Real Estate Investment Trusts
267,TGS,5034,293.27,304.05,12/10/2021,9/5/2020,10.78,Public Utilities,Natural Gas Distribution
268,PRTY,7402,147.61,156.46,3/2/2022,3/4/2021,8.85,Consumer Services,Other Specialty Stores
269,ENVA,6664,558.69,64.02,2/6/2022,11/21/2022,-494.67,Finance,Finance: Consumer Services
270,NVO,533,752.38,217.02,8/7/2021,10/8/2021,-535.36,Health Care,Major Pharmaceuticals
271,PDCO,5030,846.75,707.07,8/18/2021,5/17/2020,-139.68,Health Care,Medical Specialities
272,MSF,2418,543.72,105.24,1/1/2021,7/17/2020,-438.48,n/a,n/a
273,VST,2636,534.7,577.78,2/6/2022,11/26/2020,43.08,Public Utilities,Electric Utilities: Central
274,HTBI,5300,890.89,382.67,8/13/2021,3/15/2021,-508.22,Finance,Savings Institutions
275,LAYN,9706,806.35,744.51,3/8/2021,11/30/2021,-61.84,Basic Industries,Engineering & Construction
276,DX^B,2318,923.72,78.18,4/4/2021,9/18/2021,-845.54,n/a,n/a
